"Mtype";"N_plots";"N_years";"N_trees";"trend";"sd_bp";"sd_wp";"cor_is";"sd_trend";"modelnr"
"Fix";"20";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"1"
"Fix";"40";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"2"
"Fix";"60";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"3"
"Fix";"80";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"4"
"Fix";"100";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"5"
"Fix";"120";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"6"
"Fix";"20";"20";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"7"
"Fix";"40";"20";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"8"
"Fix";"60";"20";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"9"
"Fix";"80";"20";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"10"
"Fix";"100";"20";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"11"
"Fix";"120";"20";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"12"
"Var_tree";"80";"12";"5";"0,0025";"0,07";"0,175";"0,2";"0,0065";"13"
"Var_tree";"80";"12";"10";"0,0025";"0,07";"0,175";"0,2";"0,0065";"14"
"Var_tree";"80";"12";"15";"0,0025";"0,07";"0,175";"0,2";"0,0065";"15"
"Var_tree";"80";"12";"25";"0,0025";"0,07";"0,175";"0,2";"0,0065";"16"
"Var_trend";"80";"12";"20";"0,0050";"0,07";"0,175";"0,2";"0,0065";"17"
"Var_bp";"80";"12";"20";"0,0025";"0,05";"0,175";"0,2";"0,0065";"18"
"Var_bp";"80";"12";"20";"0,0025";"0,09";"0,175";"0,2";"0,0065";"19"
"Var_cor";"80";"12";"20";"0,0025";"0,07";"0,175";"0,0";"0,0065";"20"
"Var_cor";"80";"12";"20";"0,0025";"0,07";"0,175";"0,4";"0,0065";"21"
"Var_sdt";"80";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,0040";"22"
"Var_sdt";"80";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,0090";"23"
