"jaarlijkse_trend";"jaarlijkse_power"
"0,000833333333333333";"0,02"
"0,001666666666666667";"0,06"
"0,002500000000000000";"0,14"
"0,003333333333333334";"0,06"
"0,004166666666666667";"0,12"
"0,005000000000000000";"0,22"
"0,005833333333333334";"0,28"
"0,006666666666666667";"0,22"
"0,007500000000000000";"0,34"
"0,008333333333333333";"0,34"
"0,009166666666666667";"0,42"
"0,010000000000000000";"0,46"
"0,010833333333333334";"0,44"
"0,011666666666666667";"0,58"
"0,012500000000000001";"0,74"
"0,013333333333333334";"0,78"
"0,014166666666666666";"0,88"
"0,014999999999999999";"0,92"
"0,015833333333333335";"0,90"
"0,016666666666666666";"0,94"
"0,017500000000000002";"0,92"
"0,018333333333333333";"0,98"
"0,019166666666666665";"0,98"
"0,020000000000000000";"1,00"
"0,020833333333333332";"0,98"
