jaar,beschadigd,gezond,totaal,schade_pct
1987,120,768,892,13.4529147982063
1988,94,890,988,9.51417004048583
1989,102,882,989,10.3134479271992
1990,42,462,523,8.03059273422562
1991,130,854,985,13.1979695431472
1992,174,834,1008,17.2619047619048
1993,171,839,1010,16.9306930693069
1994,224,784,1008,22.2222222222222
1995,574,1154,1728,33.2175925925926
1996,449,1254,1704,26.349765258216
1997,332,1396,1728,19.212962962963
1998,382,1346,1728,22.1064814814815
1999,379,1349,1728,21.9328703703704
2000,435,1293,1728,25.1736111111111
2001,383,1345,1728,22.1643518518519
2002,376,1352,1728,21.7592592592593
2003,345,1383,1728,19.9652777777778
2004,359,1369,1728,20.775462962963
2005,370,1358,1728,21.412037037037
2006,331,1402,1733,19.0998268897865
2007,299,1433,1732,17.2632794457275
2008,247,1484,1731,14.2692085499711
2009,262,1468,1730,15.1445086705202
2010,279,1454,1733,16.0992498557415
2011,348,1385,1733,20.0807847663012
2012,445,1333,1778,25.0281214848144
2013,358,1364,1722,20.7897793263647
2014,350,1311,1661,21.0716435881999
2015,346,1265,1611,21.4773432650528
2016,321,1260,1581,20.303605313093
2017,325,1213,1538,21.1313394018205
2018,338,1143,1481,22.8224172856178
2019,335,1139,1474,22.7272727272727
2020,372,1102,1474,25.2374491180461
2021,294,1179,1473,19.959266802444
2022,395,1091,1486,26.5814266487214
